ADRAR,2586.87,2457.53,2586.87,2457.53
CHLEF,2453.34,2330.68,2453.34,2330.68
LAGHOUAT,2582.36,2453.24,2582.36,2453.24
O.E.BOUAGHI,2464.47,2341.25,2464.47,2341.25
BATNA,2475.56,2351.78,2475.56,2351.78
BEJAIA,2588.21,2458.8,2588.21,2458.8
BISKRA,2572.33,2443.72,2572.33,2443.72
BEC HAR,2599.39,2469.42,2599.39,2469.42
BLIDA,2584.8,2455.56,2584.8,2455.56
BOUIRA,2512.9,2387.26,2512.9,2387.26
TAMAN RASSET,2598.86,2468.91,2598.86,2468.91
TEBESSA,2406.67,2286.33,2406.67,2286.33
TLEMCEN,2486.33,2362.02,2486.33,2362.02
TIARET,2300.0,2185.0,2300.0,2185.0
TIZI.OUZOU,2586.14,2456.84,2586.14,2456.84
ALGER,2595.9,2466.11,2595.9,2466.11
DJELFA,2560.0,2432.0,2560.0,2432.0
JIJEL,2598.61,2468.68,2598.61,2468.68
SETIF,2326.77,2210.43,2326.77,2210.43
SAIDA,2538.71,2411.77,2538.71,2411.77
SKIKDA,2541.69,2414.61,2541.69,2414.61
SBABBES,2492.53,2367.91,2492.53,2367.91
ANNABA,2572.54,2443.92,2572.54,2443.92
GUELMA,2459.92,2336.92,2459.92,2336.92
CONSTANTINE,2483.6,2359.42,2483.6,2359.42
MEDEA,2443.98,2321.79,2443.98,2321.79
MOSTAGANEM,2588.22,2458.81,2588.22,2458.81
MSILA,2563.97,2435.77,2563.97,2435.77
MA SCARA,2532.89,2406.24,2532.89,2406.24
OUARGLA,2596.1,2466.3,2596.1,2466.3
ORAN,2578.0,2449.1,2578.0,2449.1
EL-BAYADH,2594.46,2464.73,2594.46,2464.73
ILLIZI,2599.99,2469.99,2599.99,2469.99
B.B.ARRERIDJ,2461.19,2338.13,2461.19,2338.13
BOUMERDES,2592.16,2462.55,2592.16,2462.55
EL-TARF,2551.11,2423.56,2551.11,2423.56
TINDOUF,2600.0,2470.0,2600.0,2470.0
TISSEMSlLT,2484.89,2360.64,2484.89,2360.64
EL-OUED,2573.33,2444.67,2573.33,2444.67
KHENCHELA,2462.89,2339.74,2462.89,2339.74
SOUK-AHRAS,2433.33,2311.67,2433.33,2311.67
TIPAZA,2570.24,2441.73,2570.24,2441.73
MILA,2455.63,2332.85,2455.63,2332.85
AIN-DEFLA,2472.67,2349.03,2472.67,2349.03
NAAMA,2599.85,2469.86,2599.85,2469.86
A.TEMOUCHENT,2487.47,2363.09,2487.47,2363.09
GHARDAIA,2591.58,2462.0,2591.58,2462.0
RELIZANE,2436.0,2314.2,2436.0,2314.2
