ADRAR,2282,1902,2092,2282
CHLEF,2047,1706,1876,2047
LAGHOUAT,2363,1969,2166,2363
O.E.BOUAGHI,2161,1801,1981,2161
BATNA,2206,1838,2022,2206
BEJAIA,2373,1977,2175,2373
BISKRA,2282,1901,2092,2282
BECHAR,2397,1997,2197,2397
BLIDA,2360,1967,2163,2360
BOUIRA,2086,1738,1912,2086
TAMANRASSET,2398,1998,2198,2398
TEBESSA,2238,1865,2051,2238
TLEMCEN,2261,1884,2072,2261
TIARET,1984,1654,1819,1984
TIZI-OUZOU,2371,1976,2174,2371
ALGER,2390,1992,2191,2390
DJELFA,2366,1972,2169,2366
JIJEL,2392,1993,2193,2392
SETIF,1920,1600,1760,1920
SAIDA,2328,1940,2134,2328
SKIKDA,2261,1884,2072,2261
S.B.ABBES,2294,1912,2103,2294
ANNABA,2320,1933,2126,2320
GUELMA,1952,1627,1790,1952
CONSTANTINE,2028,1690,1859,2028
MEDEA,2130,1775,1952,2130
MOSTAGANEM,2374,1978,2176,2374
M'SILA,2350,1958,2154,2350
MASCARA,2328,1940,2134,2328
OUARGLA,2384,1987,2185,2384
ORAN,2393,1994,2193,2393
EL-BAYADH,2388,1990,2189,2388
ILLIZI,2399,1999,2199,2399
B.B.ARRERIDJ,2232,1860,2046,2232
BOUMERDES,2381,1984,2183,2381
EL-TARF,2289,1907,2098,2289
TINDOUF,2400,2000,2200,2400
TISSEMSILT,2192,1827,2009,2192
EL-OUED,2345,1954,2150,2345
KHENCHELA,2225,1854,2039,2225
SOUK-AHRAS,2127,1772,1950,2127
TIPAZA,2340,1950,2145,2340
MILA,1935,1612,1774,1935
AIN-DEFLA,2057,1714,1885,2057
NAAMA,2398,1999,2198,2398
A.TEMOUCHENT,2274,1895,2085,2274
GHARDAIA,2350,1959,2155,2350
RELIZANE,2126,1772,1949,2126
