ADRAR,422.17,295.52,422.17,401.06
CHLEF,450.0,315.0,450.0,427.5
LAGHOUAT,449.56,314.69,449.56,427.08
O.E.BOUAGHI,450.0,315.0,450.0,427.5
BATNA,449.53,314.67,449.53,427.05
BEJAIA,450.0,315.0,450.0,427.5
BISKRA,320.0,224.0,320.0,304.0
BEC HAR,440.5,308.35,440.5,418.48
BLIDA,450.0,315.0,450.0,427.5
BOUIRA,450.0,315.0,450.0,427.5
TAMAN RASSET,446.75,312.72,446.75,424.41
TEBESSA,449.33,314.53,449.33,426.86
TLEMCEN,450.0,315.0,450.0,427.5
TIARET,450.0,315.0,450.0,427.5
TIZI.OUZOU,450.0,315.0,450.0,427.5
ALGER,450.0,315.0,450.0,427.5
DJELFA,449.79,314.85,449.79,427.3
JIJEL,450.0,315.0,450.0,427.5
SETIF,450.0,315.0,450.0,427.5
SAIDA,450.0,315.0,450.0,427.5
SKIKDA,450.0,315.0,450.0,427.5
SBABBES,450.0,315.0,450.0,427.5
ANNABA,450.0,315.0,450.0,427.5
GUELMA,450.0,315.0,450.0,427.5
CONSTANTINE,450.0,315.0,450.0,427.5
MEDEA,450.0,315.0,450.0,427.5
MOSTAGANEM,450.0,315.0,450.0,427.5
MSILA,450.0,315.0,450.0,427.5
MA SCARA,450.0,315.0,450.0,427.5
OUARGLA,406.73,284.71,406.73,386.39
ORAN,450.0,315.0,450.0,427.5
EL-BAYADH,449.7,314.79,449.7,427.21
ILLIZI,449.53,314.67,449.53,427.06
B.B.ARRERIDJ,450.0,315.0,450.0,427.5
BOUMERDES,450.0,315.0,450.0,427.5
EL-TARF,450.0,315.0,450.0,427.5
TINDOUF,449.73,314.81,449.73,427.24
TISSEMSlLT,450.0,315.0,450.0,427.5
EL-OUED,372.11,260.48,372.11,353.5
KHENCHELA,447.6,313.32,447.6,425.22
SOUK-AHRAS,450.0,315.0,450.0,427.5
TIPAZA,450.0,315.0,450.0,427.5
MILA,450.0,315.0,450.0,427.5
AIN-DEFLA,449.86,314.9,449.86,427.37
NAAMA,450.0,315.0,450.0,427.5
A.TEMOUCHENT,432.93,303.05,432.93,411.29
GHARDAIA,450.0,315.0,450.0,427.5
RELIZANE,450.0,315.0,450.0,427.5
