ADRAR,2327,1939,2133,2327
CHLEF,2122,1768,1945,2122
LAGHOUAT,2375,1979,2177,2375
O.E.BOUAGHI,2278,1898,2088,2278
BATNA,2293,1910,2102,2293
BEJAIA,2374,1978,2176,2374
BISKRA,2303,1919,2111,2303
BECHAR,2399,1999,2199,2399
BLIDA,2366,1972,2169,2366
BOUIRA,2125,1771,1948,2125
TAMANRASSET,2397,1998,2197,2397
TEBESSA,2337,1947,2142,2337
TLEMCEN,2231,1859,2045,2231
TIARET,1920,1600,1760,1920
TIZI-OUZOU,2369,1974,2172,2369
ALGER,2390,1992,2191,2390
DJELFA,2376,1980,2178,2376
JIJEL,2396,1997,2196,2396
SETIF,1925,1604,1765,1925
SAIDA,2272,1894,2083,2272
SKIKDA,2287,1906,2096,2287
S.B.ABBES,2280,1900,2090,2280
ANNABA,2324,1937,2130,2324
GUELMA,1985,1654,1819,1985
CONSTANTINE,2031,1693,1862,2031
MEDEA,2129,1774,1952,2129
MOSTAGANEM,2370,1975,2172,2370
M'SILA,2369,1974,2172,2369
MASCARA,2277,1897,2087,2277
OUARGLA,2386,1988,2187,2386
ORAN,2358,1965,2161,2358
EL-BAYADH,2393,1994,2193,2393
ILLIZI,2399,1999,2199,2399
B.B.ARRERIDJ,2248,1873,2060,2248
BOUMERDES,2382,1985,2183,2382
EL-TARF,2305,1921,2113,2305
TINDOUF,2400,2000,2200,2400
TISSEMSILT,2198,1831,2014,2198
EL-OUED,2347,1956,2152,2347
KHENCHELA,2289,1907,2098,2289
SOUK-AHRAS,2203,1836,2019,2203
TIPAZA,2333,1944,2138,2333
MILA,2020,1683,1851,2020
AIN-DEFLA,2105,1754,1929,2105
NAAMA,2399,1999,2199,2399
A.TEMOUCHENT,2173,1811,1992,2173
GHARDAIA,2362,1968,2165,2362
RELIZANE,2121,1768,1944,2121
