ADRAR,129.7,90.79,129.7,123.21
CHLEF,128.1,89.67,128.1,121.7
LAGHOUAT,120.72,84.51,120.72,114.69
O.E.BOUAGHI,127.27,89.09,127.27,120.91
BATNA,125.55,87.89,125.55,119.28
BEJAIA,128.24,89.77,128.24,121.83
BISKRA,70.0,49.0,70.0,66.5
BECHAR,129.35,90.54,129.35,122.88
BLIDA,119.48,83.64,119.48,113.51
BOURA,129.62,90.73,129.62,123.13
TAMANRASSET,129.66,90.76,129.66,123.18
TEBESSA,129.21,90.45,129.21,122.75
TLEMCEN,111.5,78.05,111.5,105.92
TIARET,122.26,85.58,122.26,116.14
TIZI-OUZOU,128.74,90.12,128.74,122.3
ALGER,116.09,81.26,116.09,110.29
DJELFA,128.83,90.18,128.83,122.39
JIJEL,111.73,78.21,111.73,106.14
SETIF,107.08,74.96,107.08,101.73
SAIDA,122.49,85.74,122.49,116.37
SKIKDA,122.41,85.69,122.41,116.29
S.B.ABBES,125.93,88.15,125.93,119.63
ANNABA,124.27,86.99,124.27,118.06
GUELMA,129.43,90.6,129.43,122.96
CONSTANTINE,129.82,90.87,129.82,123.33
MEDEA,128.41,89.89,128.41,121.99
MOSTAGANEM,79.31,55.51,79.31,75.34
M'SILA,127.35,89.15,127.35,120.99
MASCARA,118.32,82.82,118.32,112.4
ÔUARGLA,129.76,90.83,129.76,123.27
ORAN,128.87,90.21,128.87,122.42
EL-BAYADH,129.8,90.86,129.8,123.31
ILLIZI,129.93,90.95,129.93,123.43
B.B.ARRERIDJ,129.77,90.84,129.77,123.28
BOUMERDES,116.65,81.65,116.65,110.82
EL.TARF,127.88,89.52,127.88,121.49
TINDOUF,129.97,90.98,129.97,123.47
TISSEMSILT,130.0,91.0,130.0,123.5
EL.OUED,126.2,88.34,126.2,119.89
KHENCHELA,127.69,89.38,127.69,121.3
SOUK.AHRAS,129.5,90.65,129.5,123.02
TIPAZA,111.88,78.32,111.88,106.28
MILA,125.34,87.74,125.34,119.07
AIN.DEFLA,128.05,89.63,128.05,121.65
NAAMA,128.87,90.21,128.87,122.42
A.TEMOUCHENT,123.94,86.76,123.94,117.75
GHARDAIA,128.32,89.83,128.32,121.91
RELIZANE,128.83,90.18,128.83,122.39
